name,categories,link,
Ankle Circles Pumps Tibialis,foot;fullday,,
Arm Internal Rotation w Band,shoulder;fullday,,
Arm Circles,shoulder;mobility;fullday,,
Arm DB Curl,strength;fullday,,
Back Extension,strength;stability;fullday,,
Band Pull Aparts,shoulder;fullday,,
Band Y-Raises,shoulder;fullday,,
Balance 1 foot,stability;foot;fullday,,
Bear Planks,stability;strength,,
Box Step Downs,stability;foot;fullday,,
Calf Raises,foot;fullday,,
Cat Cow,mobility;fullday,,
Chair Pose,strength;stability;fullday,,
Deadbug,stability;fullday,,
Dead Hang,mobility;shoulder;fullday,,
Doorway Peck Strep,mobility;shoulder;fullday,, 
Flex Cable-Engine,strength,,
"Forearm supination, pronation, hammers, wipers",grip;mobility;fullday,,
Glute Bridge,stability;strength;fullday,,
Haolos,shoulder;fullday,,
Hamstring Nerve Glide,mobility;fullday,,
Hip Airplane,stability;fullday,,
High Leg Lifts Statue Liberty,stability;cardio;fullday,,
High Leg Lifts Breath Hold,stability;fullday,,
Lunge,strength;fullday,,
Lat Raises 45 deg out to Full Up,shoulder;strength;fullday,,
Open Book,mobility;fullday,,
Pallof Press,stability;fullday,,
Plank,stability;fullday,,
Plank Side,stability;fullday,,
Pushups,strength;fullday,,
RDL,strength;fullday,,
RDL 1-Leg,strength;fullday,,
Row TRX,strength;fullday,,
Rows,strength;fullday,,
Squats,strength;fullday,,
Standing Banded Hip Abduction,stability;fullday,,
Standing Banded Hip Flexion + Extension,stability;mobility;fullday,,
Touch Toes,mobility;fullday,,
Wood Chop,stability;strength;fullday,,
Wrist Isometric Extend Stretch,grip;mobility;fullday,,
Burst Box Steps Overs,cardio,,
Burst Air Squats,cardio,,
Burst Squats Jacks,cardio,,
Burst Pushups,cardio,,
Burst High Steps (Fast Pace),cardio,,
Burst Mountain Climber,cardio,,
Burst Line Hops,cardio,,
Burst High Steps,cardio,,
Burst + Burst + Burst,cardio,,
Burst Ladder Drills,cardio,,
Burst Shuffle Dances,cardio,,
Assisted Skater Squats,strength;stability,Exercises\Fit-Assisted-Skater-Squats.mp4,
Balance Poses,stability;coordination,Exercises\Balance_Poses_damon_reio.mp4,
Balance Skills,stability;coordination,Exercises\Balance_Skills.mp4,
Blackbird Shoulder,shoulder;stability,Exercises\Fit-Blackbird-Shoulder-W2V.mp4,
Calf Raise - Soleus  Bent Knee,foot,Exercises\Fit-Calf-Solius-Raise-Bent-Knee.mp4,
Glute Bridge Balance,stability;strength;fullday,Exercises\GluteBridge_BalanceBall_happiestsadist.mp4,
Glute Donkey Kick,strength;stability,Exercises\Glute_CO_Donkey_Kick.mp4,
Plank Copenhagen,stability;strength;fullday,Exercises\Plank-Copenhagen.mp4,
Brain Challenge A-Z,mental,,
Brain Challenge 01 Horns Middle,mental,Exercises\Brain-Challenge-Day01-Horns-Middle.mp4,
Brain Challenge 10 Finger Swap,mental,Exercises\Brain-Challenge-Day10-One-Two-Finger-Swap.mp4,
Brain Challenge 02 Memory Test,mental,Exercises\Brain-Challenge-Day02-Memory-Test.mp4,
Brain Challenge 03 Shoe Sock,mental,Exercises\Brain-Challenge-Day03-Shoe-Sock.mp4,
Brain Challenge 04 Salute Thumbs Up,mental,Exercises\Brain-Challenge-Day04-Salute-ThumbsUp.mp4,
Brain Challenge 05 Letter Number Toss,mental,Exercises\Brain-Challenge-Day05-Letter-number-toos.mp4,
Brain Challenge 06 Memory,mental,Exercises\Brain-Challenge-Day06=Memory.mp4,
Brain Challenge 07 Middle Fingers,mental,Exercises\Brain-Challenge-Day07-MiddleFingers.mp4,
Brain Challenge 08 Finger Touch Sequence,mental,Exercises\Brain-Challenge-Day08-Finger-Touch-Sequence.mp4,
Brain Challenge 09 Simon Says,mental,Exercises\Brain-Challenge-Day09-Simon-Says.mp4,
Brain Train  Flop,mental,Exercises\BrainTrain_Day10_FlopHands.mp4,
Brain Train Eye Pushup,mental,Exercises\BrainTrain_Day08_EyePushups.mp4,
Brain Train Circle,mental,Exercises\BrainTrain_Day09_Circles.mp4,
Brain Train Juggle,mental,Exercises\Brain_Train_Juggle Cercato.mp4,
Brain Rhythm-Beat-01,mental,Exercises\Rhythms_robertadimaio_rhythm.mp4,
Broom Lift on Stomach,shoulder;mobility;fullday,Exercises\Fit-BroomLifts_drrodpt.mp4,
Kettlebell Tension Hold,strength;grip,Exercises\Fit-Maintain-Tension-With-Kettle.mp4,
Plank Dance Basic 1,stability,Exercises\Band Plank Leg Lifts.mp4,
Plank Dance Basic 2,stability;coordination,Exercises\Plank_Deance_Basic_Basic.mp4,
Plyo In Middle,cardio,Exercises\Plyo_In-The_Middle_coachjohnnoel.mp4,
RDL Twist to One Foot Alternate,strength;mobility;stability,Exercises\RDL+Twist_takumi_systems.mp4,
Shoulder Fix,shoulder,Exercises\Fit-Fix-Shoulder.mp4,
Squats Shrimp Squats,strength;stability,Exercises\Fit-Shrimp Squats.mp4,
Squat DB Full Body Sequence,strength;cardio,Exercises\Squat+Overhead_DB+Others marielaxfit.mp4,
Squat Dragon Walk,mobility;coordination,Exercises\Dragon_Walk+drjjphysicaltherapist.mp4,
Squat on Toes with Wall ,stability;foot,Exercises\Wall_Sex happiestsadist.mp4,
Squat Surrendors,cardio;strength,Exercises\Fit-Squat-moves-happiestsadist.mp4,
Stand Up Without Hands,strength;mobility,Exercises\Fit-Stand_up_Without-Hands.mp4,
Stretch Combo,mobility;recovery,Exercises\Fit_Stretch_Combo.mp4,
Stretch Lower Back,mobility;recovery;fullday,Exercises\Stretch_Lower_Back_heydrrob.mp4,
Towel Roll Up,mobility;grip,Exercises\Towell_Roll__Up.mp4,
Dance 4-Step Triangle,dance,Exercises\Dance 4-Step-Triangle 2026-06-11_01-35-58_UTC.mp4,
Dance 6 Step Side to Side,dance,Exercises\Dance_Lessons_Easy_Dance+Hips+Arms.mp4,
Dance Afro Rhythm,dance,Exercises\Dance_AfroRythm_TrainC_MAW.mp4,
Dance Air Step,dance,Exercises\Dance_Air_Step.mp4,
Dance Around World,dance,Exercises\Dance-Around-World-ed.people.mp4,
Dance Bacchata 4 circle,dance,Exercises\Dance-Lessons-Bachata-Steps.mp4,
Dance Bangha 8 beat,dance,Exercises\Dance-lessons-Bhangra.mp4,
Dance Beat It,dance,Exercises\Dance-Beat-It.mp4,
Dance Bounce and Kick,dance,Exercises\Dance_Easy_Bounce_and_Kick.mp4,
Dance Charleston,dance,Exercises\Dance_Shuffle_Charleston_isi.shuffles.mp4,
Dance Cross and Back,dance,Exercises\Dance_Easy_Cross_And_Back.mp4,
Dance Five Dances,dance,Exercises\Dance_Bachata+Waltz+Salsa+Tango_ andrew.ikim.mp4,
Dance Footwork,dance,Exercises\Dance_Foundataion_Footwork_alyssachaneldance.mp4,
Dance Footwork Ankle Flick,dance,Exercises\Dance-Footwork-AnkleFlick.mp4,
Dance Head Moves,dance,Exercises\Dance_HeadMoves_jwang.dance.mp4,
Dance Hip Circles,dance,Exercises\Dance-Move-hips-in-circle.mp4,
Dance Mambo,dance,Exercises\Dance-lessons-Mambo-1.mp4,
Dance Mambo 2,dance,Exercises\Dance-Mambo.mp4,
Dance Merengue,dance,Exercises\Dance-Merengue.mp4,
Dance Moon Walk,dance,Exercises\Dance_Skills_Moon_Walk.mp4,
Dance Necronomicon V1,dance,Exercises\Dance-Do-The-Necronomicon-V1.mp4,
Dance Necronomicon V2,dance,Exercises\Dance-Do-The-Necronomicon-V2.mp4,
Dance Necronomicon V3,dance,Exercises\Dance-Do-The-Necronomicon-V3.mp4,
Dance RockNRollKick,dance,Exercises\Dance_RockNRoll_andrewKim.mp4,
Dance Roll Your Body,dance,Exercises\Dance-How-To-Roll-Your-Body.mp4,
Dance Salsa  3 steps 4 ways,dance,Exercises\Dance-Lessons-Salsa-andrew.ikim.mp4,
Dance Salsa (AndrewKim),dance,Exercises\Dance_Salsa_AndrewKim.mp4,
Dance Salsa (Tutorial),dance,Exercises\Dance_Salsa_Tutorial.mp4,
Dance Shuffle Float,dance,Exercises\Dance_Shuffle_Floating_Step_taichibreath.mp4,
Dance Shuffle One,dance,Exercises\Dance_Shuffle_One_Leg.mp4,
Dance Shuffle Saw,dance,Exercises\Dance_Shuffle_For_Beginners.mp4,
Dance Shuffle ZigZag,dance,Exercises\Dance-Shuffle-Zig-Zag-aleksdancefitness.mp4,
Dance Slide Bounce Shuffle,dance,Exercises\Dance_Slide_and_Bounce_Shuffle.mp4,
Dance Suffle Plyo,dance,Exercises\Dance_Lessons_Rhythm_training.mp4,
Dance Tango,dance,Exercises\Dance-Tango-andrew.ikim.mp4,
Dance Triangle 3 beat,dance,Exercises\Dance_ThreeCircles.mp4,
Dance Upper Body,dance,Exercises\Dance_UpperBodyDrills.mp4,
Dance Waltz,dance,Exercises\Dance_Waltz_AndrewKim.mp4,
K-00 120sec,coordination,Exercises\K-00.mp4,
K-01 90sec,coordination,Exercises\K-01femalephysiosarah.mp4,
K-02 90sec,coordination,Exercises\K-02-femalephysiosarah.mp4,
K-03 90sec,coordination,Exercises\K-03_femalephysiosarah.mp4,
K-04 90sec,coordination,Exercises\K-04_femalephysiosarah.mp4,
K-05 90sec,coordination,Exercises\K-05_femalephysiosarah.mp4,
K-06 90sec,coordination,Exercises\K-06_femalephysiosarah.mp4,
K-07 90sec,coordination,Exercises\K-07_femalephysiosarah.mp4,
K-08 90sec,coordination,Exercises\K-08_femalephysiosarah.mp4,
K-AA More Pelvic,coordination,Exercises\K-AA_Part3.mp4,
K-BB More Pelvic,coordination,Exercises\K_xx_More Pelvic_Floors_emilykchen.mp4,
Brain Challenge 11 Drop Catch,mental,Exercises\Brain_Challenge_11-Drop_Catch.mp4,
Dance T-Step Backwards,dance,Exercises\Dance The T-Step Backwards.mp4,
Dance Ballet Polinaise,dance,Exercises\Dance-Ballet-Polinaise.mp4,
Dance Shuffle Running Man Reversed,dance,Exercises\Dance-Shuffel-RunningMan-Reversed.mp4,
